Variable	Description
Target		Never Paid or not
Var_1		Restructured Credit Request YN (Muhtemelen olumsuz, belki olumlu da olabilir.)
Var_2		Customer GBF (bilmiyoruz)
Var_3		CC_Num_of_application_L6M + LO_Num_of_application_L6M + MO_Num_of_application_L6M + OD_Num_of_application_L6M (CC=Creadit Card,LO=Kredi basvurusu,OD=OverDraft(KMH)(Son 6 ayda bankadan kaç kere para istedi.))
Var_4		KKB Bureau Score(Kredi Skoru, diger degiskenlerle baglantili (korelasyon dikkat!!!))
Var_5		CC Total Payment of all Credit cards (Toplam kredi kartina yaptigi ödeme)
Var_6		CC_Num_of_application_L1M + LO_Num_of_application_L1M + OD_Num_of_application_L1M (Son 1 ayda bankadan kaç kere para istedi.)
Var_7		Employers Address YN (Isveren adresi var mi yok mu?)
Var_8		Branch and work adresses are the same (Sube ve is adresi ayni, isyerine yakin subeden mi basvurmus??)
Var_9		Main and application branch codes are the same (Ana sube ve kredi basvuru subesi ayni mi?)
Var_10		Müþteri Dönem Aktif (Müsteri aktif mi degil mi? 1/0)
Var_11		Monthly Family Income (Aile geliri aylik)
Var_12		OD Number of months in 1 delay_L24M (OverDraft 24 ayin kaçinda 1 kere gecikme sayisi)
Var_13		OD Number of months in 2 delay_L12M (OverDraft 12 ayin kaçinda 2 kere gecikme sayisi)
Var_14		CC Number of months in 2 delay_L24M (CreditDraft 24 ayin kaçinda 2 kere gecikme sayisi)
Var_15		Kullandýrým Hazýrlýk (1/0)
Var_16		Þube Müdürü Görüþü (pozitif)
Var_17		Þube Kaps Kontrolü (pozitif)
Var_18		CC Tot Limit YTL (Toplam Kredi Karti Limiti)
Var_19		Total_of_Monthly_Instalment / Total_Assets (Düsük iyi )
Var_20		CC_Total_Payment_of_all_Credit_cards / CC_Total_Balance_of_All_Credit_Cards (Ödeme/Bakiye)
Var_21		Worst Card Status ALL (En kötü kredi kartinin durumu)
Var_22		Home Phone YN (Ev telefonu var mi yok mu?)
Var_23		Þube Pazarlama Eksiklik Görüþü (Subenin görüüsü iyi mi kötü mü (1/0))
Var_24		GUA_Num Unpaid Cheques L6M (Son alti ayda ödenmemis çek adedi)
Var_25		Number of Limit Increase Rejects in L3M (Son 3 ayda limit artirma reddi sayisi)
Var_26		Total_of_Monthly_Instalment / Monthly Net Income (Aylik toplam ödeme/Aylik net gelir)
Var_27		Residential Status (Ikamet Tipi)
Var_28		Max Delinquency Status L6M (En çok gecikme durumu son 6 ay)
Var_29		Num Unpaid Notes L7M_L12M (Ödenmemis senet sayisi bir önceki ay)
Var_30		Aktif Vadeli Grup (pozitif muhtemelen)
Var_31		Current Payment Status (Ödeme durumu)
Var_32		Bayii Bekleme Havuzu (Direk silinecek, hepsi ayni deger)
Var_33		Home adress district code (Posta kodu)
Var_34		Level of Education (Egitim düzeyi)
Var_35		Branch and home adresses have the same city code (Sube ve is adresi ayni sehirde mi??)
Var_36		LO Tot Balance in Litigation (Davalik olan para miktari (icra))
Var_37		Num Unpaid Cheques L13M-L24M (geçen sene ödenmeyen çek sayisi)
Var_38		MO_Maximum_Mortgage_Limit / Monthly Net Income (Kredi limiti/Aylik gelir)
Var_39		GM Kullandýrým Ýþlem (Genel Müdürlük kullandirim islemi, 1/0)
Var_40		Preapproval_Credit_Type (Sillllll!!!!)
